2024-08-13,64.79
2024-08-14,64.81
2024-08-15,66.05
2024-08-16,65.80
2024-08-19,66.35
2024-08-20,67.02
2024-08-21,67.20
2024-08-22,66.76
2024-08-23,67.35
2024-08-26,66.66
2024-08-27,66.52
2024-08-28,66.29
2024-08-29,66.79
2024-08-30,67.45
2024-09-04,61.30
2024-09-05,61.86
2024-09-06,59.85
2024-09-09,60.73
2024-09-10,60.79
2024-09-11,62.06
2024-09-12,63.45
2024-09-13,63.58
2024-09-16,63.27
2024-09-17,63.99
2024-09-18,63.30
2024-09-19,65.29
2024-09-20,65.91
2024-09-23,65.67
2024-09-24,66.15
2024-09-25,65.36
2024-09-26,65.72
2024-09-27,65.02
2024-09-30,65.16
2024-10-01,63.62
2024-10-02,62.14
2024-10-03,62.07
2024-10-04,62.40
2024-10-07,62.85
2024-10-08,64.33
2024-10-09,64.94
2024-10-10,64.56
2024-10-11,65.56
2024-10-14,67.38
2024-10-15,65.70
2024-10-16,67.00
2024-10-17,67.54
2024-10-18,67.46
2024-10-21,66.87
2024-10-22,66.85
2024-10-23,68.47
2024-10-24,69.80
2024-10-25,69.41
2024-10-28,68.68
2024-10-29,68.88
2024-10-30,68.36
2024-10-31,67.02
2024-11-01,67.86
2024-11-04,68.22
2024-11-05,69.71
2024-11-06,72.17
2024-11-07,73.95
2024-11-08,73.87
2024-11-11,73.41
2024-11-12,71.99
2024-11-13,72.33
2024-11-14,72.55
2024-11-15,70.52
2024-11-18,69.88
2024-11-19,70.98
2024-11-20,70.89
2024-11-21,73.24
2024-11-22,74.29
2024-11-25,73.29
2024-11-26,73.26
2024-11-27,72.74
2024-12-02,73.08
2024-12-03,73.13
2024-12-04,74.40
2024-12-05,74.39
2024-12-06,74.21
2024-12-09,73.67
2024-12-10,72.61
2024-12-11,73.53
2024-12-12,73.60
2024-12-13,73.63
2024-12-16,75.35
2024-12-17,74.26
2024-12-18,70.10
2024-12-19,70.01
2024-12-20,70.58
2024-12-23,70.99
2024-12-24,71.66
2024-12-27,70.74
2024-12-30,69.50
2024-12-31,69.45
2025-01-03,70.10
2025-01-06,71.13
2025-01-07,71.46
2025-01-08,71.83
2025-01-10,70.20
2025-01-13,68.34
2025-01-14,70.27
2025-01-15,70.95
2025-01-16,69.86
2025-01-17,69.42
2025-01-22,77.84
2025-01-23,78.55
2025-01-24,77.19
2025-01-27,67.49
2025-01-28,68.58
2025-01-29,69.38
2025-01-30,71.66
2025-01-31,70.78
2025-02-03,70.12
2025-02-04,69.71
2025-02-05,69.52
2025-02-06,70.03
2025-02-07,69.80
2025-02-10,71.80
2025-02-11,69.95
2025-02-12,69.73
2025-02-13,69.37
2025-02-14,68.88
2025-02-19,69.81
2025-02-20,69.37
2025-02-21,67.58
2025-02-24,67.13
2025-02-25,65.01
2025-02-26,66.23
2025-02-27,65.46
2025-02-28,66.60
2025-03-03,63.45
2025-03-04,63.05
2025-03-05,64.71
2025-03-06,61.75
2025-03-07,62.93
2025-03-10,61.79
2025-03-11,61.64
2025-03-12,62.83
2025-03-13,61.62
2025-03-14,63.00
2025-03-17,63.86
2025-03-18,63.85
2025-03-19,67.41
2025-03-20,66.36
2025-03-21,66.60
2025-03-24,69.30
2025-03-25,69.49
2025-03-26,67.58
2025-03-27,68.17
2025-03-28,66.59
2025-03-31,65.59
2025-04-01,66.07
2025-04-02,67.90
2025-04-03,62.66
2025-04-04,59.09
2025-04-07,60.90
2025-04-08,60.07
2025-04-09,66.18
2025-04-10,64.13
2025-04-11,65.40
2025-04-14,65.46
2025-04-15,65.76
2025-04-16,64.77
2025-04-17,65.06
2025-04-21,63.59
2025-04-22,65.75
2025-04-23,71.15
2025-04-24,76.03
2025-04-25,75.85
2025-04-28,75.88
2025-04-29,76.68
