2024-08-13,165.93
2024-08-14,162.03
2024-08-15,163.17
2024-08-16,164.74
2024-08-19,168.40
2024-08-20,168.96
2024-08-21,167.63
2024-08-22,165.49
2024-08-23,167.43
2024-08-26,167.93
2024-08-27,166.38
2024-08-28,164.50
2024-08-29,163.40
2024-08-30,165.11
2024-09-04,157.81
2024-09-05,158.60
2024-09-06,152.13
2024-09-09,149.54
2024-09-10,150.01
2024-09-11,152.15
2024-09-12,155.54
2024-09-13,158.37
2024-09-16,158.99
2024-09-17,160.28
2024-09-18,160.81
2024-09-19,163.24
2024-09-20,164.64
2024-09-23,163.07
2024-09-24,163.64
2024-09-25,162.99
2024-09-26,163.83
2024-09-27,165.29
2024-09-30,167.19
2024-10-01,168.42
2024-10-02,167.31
2024-10-03,167.21
2024-10-04,168.56
2024-10-07,164.39
2024-10-08,165.70
2024-10-09,163.06
2024-10-10,163.18
2024-10-11,164.52
2024-10-14,166.35
2024-10-15,166.90
2024-10-16,166.74
2024-10-17,164.51
2024-10-18,165.05
2024-10-21,165.80
2024-10-22,166.82
2024-10-23,164.48
2024-10-24,164.53
2024-10-25,166.99
2024-10-28,168.34
2024-10-29,171.14
2024-10-30,176.14
2024-10-31,172.69
2024-11-01,172.65
2024-11-04,170.68
2024-11-05,171.41
2024-11-06,178.33
2024-11-07,182.28
2024-11-08,179.86
2024-11-11,181.97
2024-11-12,183.32
2024-11-13,180.49
2024-11-14,177.35
2024-11-15,173.89
2024-11-18,176.80
2024-11-19,179.58
2024-11-20,177.33
2024-11-21,169.24
2024-11-22,166.57
2024-11-25,169.43
2024-11-26,170.62
2024-11-27,170.82
2024-12-02,172.98
2024-12-03,173.02
2024-12-04,176.09
2024-12-05,174.31
2024-12-06,176.49
2024-12-10,186.53
2024-12-11,196.71
2024-12-12,193.63
2024-12-13,191.38
2024-12-16,198.16
2024-12-17,197.12
2024-12-18,190.15
2024-12-19,189.70
2024-12-20,192.96
2024-12-23,195.99
2024-12-24,197.57
2024-12-27,194.04
2024-12-30,192.69
2024-12-31,190.44
2025-01-03,193.13
2025-01-06,197.96
2025-01-07,196.71
2025-01-08,195.39
2025-01-10,193.17
2025-01-13,192.29
2025-01-14,191.05
2025-01-15,196.98
2025-01-16,194.41
2025-01-17,197.55
2025-01-22,200.03
2025-01-23,199.58
2025-01-24,201.90
2025-01-27,193.77
2025-01-28,197.07
2025-01-29,197.18
2025-01-30,202.63
2025-01-31,205.60
2025-02-03,202.64
2025-02-04,207.71
2025-02-05,193.30
2025-02-06,193.31
2025-02-07,187.14
2025-02-10,188.20
2025-02-11,187.07
2025-02-12,185.43
2025-02-13,187.88
2025-02-14,186.87
2025-02-19,187.13
2025-02-20,186.64
2025-02-21,181.58
2025-02-24,181.19
2025-02-25,177.37
2025-02-26,174.70
2025-02-27,170.21
2025-02-28,172.22
2025-03-03,168.66
2025-03-04,172.61
2025-03-05,174.99
2025-03-06,174.21
2025-03-07,175.75
2025-03-10,167.81
2025-03-11,165.98
2025-03-12,169.00
2025-03-13,164.73
2025-03-14,167.62
2025-03-17,166.57
2025-03-18,162.67
2025-03-19,166.28
2025-03-20,165.05
2025-03-21,166.25
2025-03-24,169.93
2025-03-25,172.79
2025-03-26,167.14
2025-03-27,164.08
2025-03-28,156.06
2025-03-31,156.23
2025-04-01,158.88
2025-04-02,158.86
2025-04-03,152.63
2025-04-04,147.74
2025-04-07,149.24
2025-04-08,146.58
2025-04-09,161.06
2025-04-10,155.37
2025-04-11,159.40
2025-04-14,161.47
2025-04-15,158.68
2025-04-16,155.50
2025-04-17,153.36
2025-04-21,149.86
2025-04-22,153.90
2025-04-23,157.72
2025-04-24,161.47
2025-04-25,163.85
2025-04-28,162.42
