2024-08-13,864.82
2024-08-14,862.71
2024-08-15,877.35
2024-08-16,870.59
2024-08-19,872.35
2024-08-20,876.20
2024-08-21,881.42
2024-08-22,877.56
2024-08-23,879.21
2024-08-26,892.51
2024-08-27,908.90
2024-08-28,888.05
2024-08-29,886.63
2024-08-30,892.38
2024-09-04,890.02
2024-09-05,885.98
2024-09-06,876.68
2024-09-09,896.49
2024-09-10,894.29
2024-09-11,900.40
2024-09-12,915.03
2024-09-13,916.00
2024-09-16,907.87
2024-09-17,897.27
2024-09-18,892.52
2024-09-19,900.74
2024-09-20,906.98
2024-09-23,917.08
2024-09-24,901.54
2024-09-25,908.42
2024-09-26,901.44
2024-09-27,885.62
2024-09-30,886.52
2024-10-01,877.38
2024-10-02,878.53
2024-10-03,875.67
2024-10-04,883.11
2024-10-07,873.59
2024-10-08,890.42
2024-10-09,909.10
2024-10-10,893.63
2024-10-11,889.03
2024-10-14,889.76
2024-10-15,894.61
2024-10-16,887.38
2024-10-17,885.29
2024-10-18,889.56
2024-10-21,886.77
2024-10-22,893.49
2024-10-23,899.17
2024-10-24,893.42
2024-10-25,891.22
2024-10-28,890.96
2024-10-29,886.99
2024-10-30,879.09
2024-10-31,874.18
2024-11-01,877.31
2024-11-04,886.07
2024-11-05,890.17
2024-11-06,899.25
2024-11-07,913.93
2024-11-08,943.80
2024-11-11,932.88
2024-11-12,932.38
2024-11-13,933.73
2024-11-14,923.89
2024-11-15,907.07
2024-11-18,919.51
2024-11-19,930.15
2024-11-20,928.08
2024-11-21,955.65
2024-11-22,964.01
2024-11-25,960.89
2024-11-26,971.50
2024-11-27,961.55
2024-12-02,975.00
2024-12-03,982.15
2024-12-04,990.92
2024-12-05,982.26
2024-12-06,992.61
2024-12-09,987.86
2024-12-10,993.40
2024-12-11,994.69
2024-12-12,988.39
2024-12-13,989.35
2024-12-16,992.87
2024-12-17,982.08
2024-12-18,964.74
2024-12-19,954.80
2024-12-20,954.07
2024-12-23,949.91
2024-12-24,958.82
2024-12-27,939.70
2024-12-30,922.21
2024-12-31,916.27
2025-01-03,916.58
2025-01-06,922.71
2025-01-07,921.37
2025-01-08,927.37
2025-01-10,936.94
2025-01-13,924.70
2025-01-14,917.23
2025-01-15,923.50
2025-01-16,919.75
2025-01-17,943.19
2025-01-22,944.70
2025-01-23,942.16
2025-01-24,939.68
2025-01-27,965.25
2025-01-28,958.67
2025-01-29,964.02
2025-01-30,979.01
2025-01-31,979.88
2025-02-03,1005.83
2025-02-04,1021.86
2025-02-05,1042.88
2025-02-06,1050.99
2025-02-07,1043.81
2025-02-10,1061.92
2025-02-11,1058.34
2025-02-12,1065.12
2025-02-13,1076.86
2025-02-14,1071.85
2025-02-19,1062.54
2025-02-20,1034.83
2025-02-21,1035.03
2025-02-24,1035.60
2025-02-25,1055.66
2025-02-26,1031.97
2025-02-27,1021.71
2025-02-28,1048.61
2025-03-03,1046.85
2025-03-04,1036.87
2025-03-05,1047.75
2025-03-06,1026.62
2025-03-07,964.31
2025-03-10,934.41
2025-03-11,930.49
2025-03-12,927.08
2025-03-13,890.62
2025-03-14,903.92
2025-03-17,916.61
2025-03-18,898.05
2025-03-19,904.05
2025-03-20,895.40
2025-03-21,909.26
2025-03-24,926.04
2025-03-25,930.26
2025-03-26,929.75
2025-03-27,938.75
2025-03-28,929.66
2025-03-31,945.78
2025-04-01,954.40
2025-04-02,965.08
2025-04-03,967.08
2025-04-04,916.48
2025-04-07,908.13
2025-04-08,908.75
2025-04-09,965.19
2025-04-10,964.31
2025-04-11,963.41
2025-04-14,979.32
2025-04-15,976.92
2025-04-16,967.75
2025-04-17,994.50
2025-04-21,957.77
2025-04-22,979.23
2025-04-23,975.84
2025-04-24,975.48
2025-04-25,977.16
2025-04-28,978.54
2025-04-29,991.70
